PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Jahlil Okafor,0.098,0.932,0.131,1.271,0.0,0.0,0.156,1.286,0.241,0.935,0.047,0.857,0.0,0.0,0.138,1.21,0.0,0.0,0.127,1.123,0.051,0.522
Jake Layman,0.0,0.0,0.143,1.338,0.052,0.692,0.0,0.0,0.03,1.133,0.323,0.919,0.054,1.259,0.159,1.392,0.117,0.897,0.056,1.536,0.038,0.474
Jakob Poeltl,0.0,0.0,0.053,1.25,0.0,0.0,0.206,1.321,0.087,0.909,0.032,1.167,0.0,0.0,0.256,1.351,0.0,0.0,0.266,1.02,0.092,0.4
Jalen Brunson,0.07,0.796,0.172,0.959,0.28,0.914,0.0,0.0,0.023,1.0,0.219,1.065,0.082,1.086,0.021,1.333,0.048,1.029,0.0,0.0,0.065,0.5
Jalen Jones,0.0,0.0,0.193,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Crawford,0.126,0.836,0.107,0.968,0.495,0.833,0.0,0.0,0.0,0.0,0.155,0.944,0.022,0.923,0.0,0.0,0.021,1.25,0.0,0.0,0.06,0.657
Jamal Murray,0.078,0.827,0.128,1.011,0.306,0.871,0.02,1.393,0.0,0.0,0.112,1.126,0.154,0.968,0.052,1.384,0.071,0.9,0.022,0.645,0.052,0.411
James Ennis III,0.0,0.0,0.304,1.228,0.0,0.0,0.05,1.385,0.0,0.0,0.419,1.046,0.0,0.0,0.054,1.571,0.0,0.0,0.065,1.059,0.038,0.6
James Harden,0.487,1.105,0.133,1.089,0.221,0.974,0.0,0.0,0.009,1.208,0.032,1.188,0.036,1.053,0.014,1.027,0.009,0.875,0.01,0.926,0.046,0.73
James Johnson,0.126,0.787,0.101,0.776,0.146,0.775,0.068,1.121,0.027,0.615,0.309,0.967,0.037,1.222,0.074,1.444,0.0,0.0,0.029,0.571,0.08,0.308
James Nunnally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
