PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Montrezl Harrell,0.0,0.0,0.0,0.138,1.525,58.0,0.03,1.538,11.600000000000001,0.245,1.105,104.4,0.035,1.267,17.4,0.056,0.667,23.200000000000003,0.0,0.0,0.0,0.294,1.397,127.60000000000001,0.0,0.0,0.0,0.121,1.346,52.2,0.063,0.333,29.0
Myles Turner,0.021,1.0,24.3,0.09,1.364,97.2,0.0,0.0,0.0,0.303,1.033,332.09999999999997,0.097,0.888,105.3,0.149,0.952,162.0,0.009,0.5,8.1,0.185,1.314,202.5,0.0,0.0,0.0,0.07,1.312,81.0,0.071,0.321,81.0
Nemanja Bjelica,0.066,0.724,26.0,0.152,0.896,65.0,0.032,0.357,13.0,0.102,0.956,45.5,0.0,0.0,0.0,0.415,0.918,182.0,0.0,0.0,0.0,0.063,1.321,26.0,0.0,0.0,0.0,0.077,0.941,32.5,0.041,0.5,19.5
Nene,0.056,0.71,33.5,0.086,1.25,46.9,0.0,0.0,0.0,0.317,1.25,174.20000000000002,0.081,0.667,46.9,0.07,1.0,40.199999999999996,0.0,0.0,0.0,0.231,1.367,127.3,0.0,0.0,0.0,0.074,0.732,40.199999999999996,0.074,0.585,40.199999999999996
Nerlens Noel,0.043,1.0,8.7,0.125,1.414,29.0,0.0,0.0,0.0,0.278,1.184,48.400000000000006,0.0,0.0,0.0,0.108,0.68,26.1,0.0,0.0,0.0,0.233,1.259,55.099999999999994,0.0,0.0,0.0,0.168,1.026,37.7,0.074,0.846,13.2
Nick Young,0.03,0.81,24.0,0.211,1.264,150.0,0.117,1.037,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,1.14,180.0,0.155,1.248,108.0,0.017,1.333,12.0,0.165,0.991,114.0,0.014,1.7,12.0,0.026,0.333,18.0
Nicolas Batum,0.051,1.0,61.6,0.07,1.011,92.39999999999999,0.254,0.607,323.40000000000003,0.0,0.0,0.0,0.089,0.964,115.5,0.158,1.065,200.20000000000002,0.099,1.04,123.2,0.031,1.256,38.5,0.19,0.863,238.70000000000002,0.017,1.5,23.099999999999998,0.038,0.729,46.199999999999996
Nik Stauskas,0.061,0.8,48.0,0.15,1.024,128.0,0.177,0.692,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,1.013,240.0,0.137,0.858,112.0,0.028,1.261,24.0,0.102,0.929,88.0,0.0,0.0,0.0,0.047,0.641,40.0
Nikola Jokic,0.061,0.912,65.7,0.077,0.953,87.6,0.0,0.0,0.0,0.153,1.146,167.89999999999998,0.208,1.116,233.60000000000002,0.109,1.09,124.1,0.0,0.0,0.0,0.146,1.417,160.60000000000002,0.014,0.875,14.600000000000001,0.126,1.241,138.7,0.097,0.541,109.5
Nikola Mirotic,0.026,1.15,21.0,0.14,1.17,105.0,0.0,0.0,0.0,0.094,0.986,70.0,0.065,0.633,49.0,0.421,1.013,322.0,0.028,0.667,21.0,0.061,1.196,49.0,0.065,0.531,49.0,0.049,1.108,35.0,0.049,0.838,35.0
Nikola Vucevic,0.056,0.691,67.5,0.064,1.231,75.0,0.0,0.0,0.0,0.233,0.877,285.0,0.226,0.797,277.5,0.149,0.841,180.0,0.008,0.6,7.5,0.096,1.282,120.0,0.011,0.857,15.0,0.093,1.035,112.5,0.059,0.542,75.0
Noah Vonleh,0.043,0.875,14.8,0.059,0.773,22.2,0.0,0.0,0.0,0.106,1.175,37.0,0.106,0.625,37.0,0.152,0.93,59.2,0.0,0.0,0.0,0.218,0.988,81.4,0.0,0.0,0.0,0.221,0.855,81.4,0.088,0.333,29.6
Norman Powell,0.075,0.857,45.6,0.221,1.146,144.4,0.284,0.968,182.4,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.941,167.20000000000002,0.032,0.952,22.8,0.018,0.917,15.200000000000001,0.046,0.967,30.400000000000002,0.02,0.615,15.200000000000001,0.035,0.826,22.8
Okaro White,0.0,0.0,0.0,0.13,1.133,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.865,38.5,0.0,0.0,0.0,0.122,1.286,14.0,0.0,0.0,0.0,0.104,0.833,10.5,0.113,0.308,14.0
Omer Asik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,1.3,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,1.0,41.6,0.0,0.0,0.0,0.309,0.867,28.8,0.0,0.0,0.0
Omri Casspi,0.0,0.0,0.0,0.289,1.317,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.683,41.8,0.0,0.0,0.0,0.148,0.952,22.0,0.07,0.6,11.0,0.099,0.571,13.2,0.0,0.0,0.0
Otto Porter Jr.,0.021,0.526,16.0,0.202,1.317,184.0,0.073,1.046,64.0,0.027,1.0,24.0,0.0,0.0,0.0,0.34,1.31,304.0,0.033,0.862,32.0,0.077,1.536,72.0,0.094,1.083,88.0,0.082,1.192,72.0,0.048,0.698,40.0
P.J. Tucker,0.0,0.0,0.0,0.196,1.138,85.5,0.023,0.6,11.4,0.038,1.118,17.099999999999998,0.045,0.4,22.8,0.327,0.91,142.5,0.0,0.0,0.0,0.11,0.98,51.300000000000004,0.0,0.0,0.0,0.126,0.929,57.0,0.092,0.463,39.9
