PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Jahlil Okafor,964.6,0.866,185.5,1.338,63.599999999999994,0.0,0.0,1.015,127.19999999999999,0.851,312.70000000000005,0.911,42.400000000000006,0.0,0.0,0.89,111.30000000000001,0.0,0.0,1.298,84.80000000000001,0.487,37.099999999999994
Jamal Crawford,1153.4000000000003,1.004,260.7,1.152,134.29999999999998,0.817,347.6,0.0,0.0,0.0,0.0,1.071,213.3,0.824,102.7,0.0,0.0,0.795,39.5,1.273,7.9,0.75,47.4
Jameer Nelson,374.40000000000003,1.0,31.200000000000003,0.917,35.1,0.665,183.3,0.0,0.0,0.0,0.0,0.775,81.9,0.964,27.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.467,15.600000000000001
James Anderson,209.1,0.0,0.0,0.581,61.199999999999996,0.692,40.800000000000004,0.0,0.0,0.0,0.0,0.766,76.5,0.667,20.400000000000002,0.0,0.0,1.1,10.200000000000001,0.0,0.0,0.0,0.0
James Ennis III,104.4,0.0,0.0,1.64,25.2,0.824,17.099999999999998,0.0,0.0,0.0,0.0,1.05,39.6,0.0,0.0,0.0,0.0,0.8,9.9,0.846,12.6,0.0,0.0
James Harden,2345.2000000000003,0.926,565.8000000000001,1.073,492.0,0.97,606.8000000000001,0.0,0.0,0.911,114.8,1.267,188.6,0.954,90.2,1.205,41.0,1.038,82.0,0.724,32.800000000000004,0.809,131.20000000000002
James Johnson,307.8,0.839,57.0,0.92,51.300000000000004,0.857,22.8,0.0,0.0,0.833,17.099999999999998,0.859,96.89999999999999,0.0,0.0,1.333,22.8,0.615,11.4,1.412,17.099999999999998,0.143,11.4
Jared Dudley,583.2,0.0,0.0,1.097,121.5,0.0,0.0,0.951,81.0,0.0,0.0,1.11,267.3,0.0,0.0,1.366,40.5,0.765,32.4,1.0,16.2,0.52,24.3
Jared Sullinger,972.0,0.579,56.699999999999996,0.985,64.8,0.0,0.0,0.873,162.0,0.825,162.0,0.824,202.5,0.0,0.0,1.046,89.10000000000001,0.851,48.6,1.081,121.5,0.313,64.8
Jarell Martin,159.3,0.833,10.8,1.176,16.2,0.0,0.0,0.708,24.3,0.8,16.2,0.75,24.3,0.0,0.0,1.259,27.0,0.0,0.0,1.214,27.0,0.462,13.5
Jarrett Jack,483.19999999999993,0.66,51.2,0.815,54.4,0.829,217.6,0.0,0.0,0.0,0.0,0.89,89.6,0.783,22.4,0.0,0.0,0.429,12.8,0.0,0.0,0.771,35.2
Jason Smith,592.8,0.0,0.0,1.222,30.400000000000002,0.0,0.0,1.004,235.6,0.357,15.200000000000001,0.931,159.6,0.0,0.0,1.054,38.0,0.727,22.8,1.0,30.400000000000002,0.456,60.800000000000004
Jason Terry,424.80000000000007,0.467,14.4,1.151,86.39999999999999,0.82,57.6,0.0,0.0,0.0,0.0,0.99,194.4,1.0,21.599999999999998,0.0,0.0,1.211,21.599999999999998,0.0,0.0,0.552,28.8
Jason Thompson,60.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.299999999999999,0.0,0.0,0.952,20.900000000000002,0.0,0.0,1.615,13.299999999999999,0.0,0.0,1.071,13.299999999999999,0.0,0.0
Jeff Green,686.8000000000001,1.03,63.599999999999994,1.186,95.4,0.875,127.19999999999999,1.083,24.3,0.845,58.300000000000004,0.764,121.89999999999999,0.786,26.5,1.302,53.0,0.925,42.400000000000006,1.057,37.099999999999994,0.526,37.099999999999994
